player,pos,team,bye,pos_rank,adp,games,adj,risk,ceiling,note
Jahmyr Gibbs,RB,DET,6,1,1.5,16.0,1.06,2,5,"True bellcow with Montgomery traded to HOU; 75% snaps + 5.6 rec/gm in 2H 2025"
Bijan Robinson,RB,ATL,11,2,2.2,16.3,1.03,2,5,"Stefanski arrives; 1478 rush yds + 79 rec in 2025"
Christian McCaffrey,RB,SF,8,3,6.0,14.5,1.00,4,5,"Elite when healthy; age + workload history is the whole bet. Handcuff Jordan James"
Jonathan Taylor,RB,IND,13,4,8.0,15.8,0.98,3,4,"Workhorse volume; passing-game share caps PPR ceiling"
James Cook,RB,BUF,7,6,9.0,16.0,1.00,2,4,"TD-dependent in a low-volume pass offense (Allen 28.75 att/gm)"
De'Von Achane,RB,MIA,6,5,10.0,15.8,0.90,4,4,"FADE: McDaniel gone, Malik Willis at QB, Slowik expected to run more"
Chase Brown,RB,CIN,6,7,11.0,16.0,1.00,3,4,"Every-down role in a high-powered offense"
Saquon Barkley,RB,PHI,10,9,13.0,15.5,0.94,3,4,"FADE at cost: heavy prior workload, new wide-zone install, Bigsby behind him"
Derrick Henry,RB,BAL,13,8,15.0,15.5,1.00,3,4,"Age-32 TD machine; zero receiving floor"
Ashton Jeanty,RB,LV,13,10,20.0,15.5,1.02,3,5,"Ankle in August; Kubiak offense should lift the whole unit"
Kenneth Walker III,RB,KC,5,11,22.0,15.8,1.05,3,5,"Best situation of his career; never finished above RB18 but volume + KC scoring changes that"
Jeremiyah Love,RB,ARI,14,12,23.0,15.0,1.02,4,5,"No.3 overall pick, high-ankle sprain in Aug; Conner/Allgeier cap early workload"
Omarion Hampton,RB,LAC,7,14,25.0,15.5,1.02,3,5,"Highly productive when healthy; McDaniel offense raises the floor"
Kyren Williams,RB,LAR,11,13,28.0,15.8,0.97,3,3,"Volume is real but Blake Corum is a live threat to the goal-line role"
Javonte Williams,RB,DAL,14,15,33.0,16.0,1.02,2,4,"Clear No.1 back in one of the NFC's best offenses"
Cam Skattebo,RB,NYG,8,16,38.0,14.5,1.00,4,4,"Back from serious leg/ankle injury; shares top of depth chart with Tracy early"
Quinshon Judkins,RB,CLE,11,17,40.0,15.0,0.92,4,4,"FADE: priced high off a dislocated ankle/fractured fibula; CLE offense still shaky"
Breece Hall,RB,NYJ,13,18,42.0,15.5,1.00,3,4,"Groin cost camp time but expected for Week 1"
Bucky Irving,RB,TB,10,19,46.0,15.0,0.93,4,5,"FADE: 3.4 YPC and 41.6% success rate in 2025, shoulder surgery, Gainwell + Tucker added"
James Conner,RB,ARI,14,20,50.0,15.0,0.98,4,3,"Veteran floor but Love takes the long-term role"
Tony Pollard,RB,TEN,9,21,52.0,16.0,0.98,2,3,"Top-30 RB four straight years; job looks safe"
D'Andre Swift,RB,CHI,10,22,55.0,16.0,1.02,3,4,"The Bears back to target in a rising offense"
David Montgomery,RB,HOU,8,23,58.0,15.8,1.00,3,3,"Steady RB2; short-yardage and goal-line work in Houston"
