value_rank,player,pos,pos_rank,tier,team,bye,proj_ppr,ppg,vor,auction,adp,adp_edge,risk,ceiling,note
1,Jahmyr Gibbs,RB,1,1,DET,6,330.2,20.6,198.5,79.6,1.5,0.5,2,5,True bellcow with Montgomery traded to HOU; 75% snaps + 5.6 rec/gm in 2H 2025
2,Ja'Marr Chase,WR,1,1,CIN,6,295.7,18.5,164.5,66.1,3.0,1.0,2,5,Hyperextended knee but confident for the opener; most PPR points ever through five seasons
3,Bijan Robinson,RB,2,2,ATL,11,295.7,18.1,164.0,65.9,2.2,-0.8,2,5,Stefanski arrives; 1478 rush yds + 79 rec in 2025
4,Jaxon Smith-Njigba,WR,3,2,SEA,11,276.4,17.0,145.2,58.5,5.0,1.0,2,5,Led the NFL in target share (36%) and air-yard share (49%) in 2025
5,Puka Nacua,WR,2,2,LAR,11,271.6,17.5,140.4,56.6,4.0,-1.0,3,5,All-time WR1 in PPR points per game; groin/psoas cost camp reps
6,Amon-Ra St. Brown,WR,4,2,DET,6,269.9,16.6,138.7,55.9,7.0,1.0,2,4,Three straight WR4-or-better finishes; projected to lead the NFL in receptions
7,Brock Bowers,TE,1,1,LV,13,251.8,15.4,132.9,53.6,17.0,10.0,2,5,Should lead all tight ends in targets; worth a mid-second-round pick
8,Justin Jefferson,WR,5,3,MIN,6,259.0,15.9,127.8,51.6,12.0,4.0,2,5,Talent never left; Kyler Murray is a clear QB upgrade over 2025
9,Trey McBride,TE,2,1,ARI,14,246.3,15.1,127.4,51.4,18.0,9.0,2,5,126-1239-11 in 2025; Brissett was always the quarterback who fed him
10,Nico Collins,WR,8,3,HOU,8,252.4,15.8,121.2,49.0,21.0,11.0,3,5,Jayden Higgins' torn ACL concentrates targets even further
11,CeeDee Lamb,WR,6,3,DAL,14,246.6,15.6,115.4,46.7,14.0,3.0,3,5,Missed games in consecutive seasons; still an elite target earner
12,Jonathan Taylor,RB,4,3,IND,13,243.8,15.4,112.1,45.4,8.0,-4.0,3,4,Workhorse volume; passing-game share caps PPR ceiling
13,Drake London,WR,7,3,ATL,11,241.0,15.1,109.8,44.5,16.0,3.0,3,4,"Stefanski helps, but the ATL quarterback situation is genuinely unresolved"
14,Christian McCaffrey,RB,3,3,SF,8,239.7,16.5,108.0,43.7,6.0,-8.0,4,5,Elite when healthy; age + workload history is the whole bet. Handcuff Jordan James
15,Rashee Rice,WR,9,3,KC,5,236.9,15.3,105.7,42.8,24.0,9.0,3,5,Full season of the role he dominated in as a rookie
16,James Cook,RB,6,3,BUF,7,234.4,14.7,102.7,41.6,9.0,-7.0,2,4,TD-dependent in a low-volume pass offense (Allen 28.75 att/gm)
17,George Pickens,WR,12,3,DAL,14,232.3,14.5,101.1,41.0,27.0,10.0,3,5,VALUE: WR6 in PPR last year on 1575 yards; drafted at WR12 on the franchise tag
18,Emeka Egbuka,WR,14,3,TB,10,228.6,14.3,97.4,39.6,31.0,13.0,3,5,VALUE: clear alpha under new OC Zac Robinson; toe injury should not cost regular-season time
19,A.J. Brown,WR,11,3,PHI,10,228.2,14.4,97.0,39.4,19.0,0.0,3,4,Efficiency monster in a run-first offense; weekly variance is high
20,Colston Loveland,TE,3,2,CHI,10,213.0,13.3,94.1,38.2,43.0,23.0,3,5,Consensus TE3; healthy entering Year 2 after a strong rookie finish
21,Chase Brown,RB,7,3,CIN,6,225.4,14.1,93.7,38.1,11.0,-10.0,3,4,Every-down role in a high-powered offense
22,Malik Nabers,WR,10,4,NYG,8,219.2,15.1,88.0,35.8,26.0,4.0,4,5,Ramping up from a torn ACL; 'reasonable' for Week 1 but non-committal himself
23,Tetairoa McMillan,WR,16,4,CAR,5,217.5,13.6,86.3,35.2,35.0,12.0,3,5,Unquestioned Carolina WR1; only played four games in 2025
24,De'Von Achane,RB,5,3,MIA,6,215.3,13.6,83.6,34.1,10.0,-14.0,4,4,"FADE: McDaniel gone, Malik Willis at QB, Slowik expected to run more"
25,Chris Olave,WR,13,4,NO,8,213.5,13.8,82.3,33.6,30.0,5.0,4,4,Fast-paced offense with Shough; concussion history is the risk
26,Derrick Henry,RB,8,3,BAL,13,210.8,13.6,79.1,32.3,15.0,-11.0,3,4,Age-32 TD machine; zero receiving floor
27,Josh Allen,QB,1,1,BUF,7,350.4,21.2,79.1,32.3,30.0,3.0,1,5,Only player to finish top-3 in QB PPG in each of the last five seasons
28,Jaylen Waddle,WR,17,4,DEN,10,207.4,13.0,76.2,31.2,37.0,9.0,3,4,1a/1b with Sutton for Bo Nix; scheme fit is clean
29,Kenneth Walker III,RB,11,3,KC,5,206.3,13.1,74.6,30.5,22.0,-7.0,3,5,Best situation of his career; never finished above RB18 but volume + KC scoring changes that
30,Tee Higgins,WR,15,4,CIN,6,204.7,13.2,73.5,30.1,34.0,4.0,3,4,"Elite when on the field, which has been the recurring problem"
31,Ladd McConkey,WR,20,4,LAC,7,204.5,12.8,73.3,30.0,39.0,8.0,2,5,VALUE: Mike McDaniel calling plays for Herbert; Keenan Allen left for IND
32,Zay Flowers,WR,19,4,BAL,13,204.1,12.8,72.9,29.9,41.0,9.0,2,4,VALUE: finished WR7 last season and is being drafted 12 spots later
33,Garrett Wilson,WR,18,4,NYJ,13,203.7,12.7,72.5,29.7,38.0,5.0,3,4,9.0 targets per game over a six-week stretch in 2025; volume is bankable
34,Ashton Jeanty,RB,10,3,LV,13,202.1,13.0,70.4,28.9,20.0,-14.0,3,5,Ankle in August; Kubiak offense should lift the whole unit
35,Tyler Warren,TE,4,3,IND,13,185.6,11.6,66.7,27.4,45.0,10.0,3,5,Minor groin strain; has a real chance to lead the Colts in targets
